oevk,families_total,fam_married_with_child,fam_married_no_child,fam_cohabiting_with_child,fam_cohabiting_no_child,fam_single_father_with_child,fam_single_mother_with_child,fam_members_total,fam_members_per_100,fam_with_child,fam_child_1,fam_child_2,fam_child_3plus,fam_no_child,fam_children_total,fam_children_under15,fam_children_per_100,fam_children_under15_per_100
Magyarország összesen,2558319,878759,684208,222664,201084,106951,464653,7205033,282,1673027,954226,518247.0,200554,491810,270437.0,97184,885292,104
Budapest 01. OEVK,21352,5525,5718,1124,3308,1161,4516,55480,260,12326,7692,3471.0,1163,3975,2021.0,581,9026,86
Budapest 02. OEVK,23952,5490,5548,1617,4510,1283,5504,61234,256,13894,9107,3682.0,1105,4639,1869.0,505,10058,84
Budapest 03. OEVK,26656,9139,7531,1390,2289,1096,5211,73815,277,16836,9307,5578.0,1951,5365,3466.0,957,9820,101
Budapest 04. OEVK,28018,9687,8092,1443,2315,1294,5187,78058,279,17611,9390,6110.0,2111,5560,3700.0,976,10407,102
Budapest 05. OEVK,24116,5967,6080,1527,3871,1193,5478,61769,256,14165,9333,3871.0,961,5066,2233.0,472,9951,84
Budapest 06. OEVK,24896,6850,6067,1657,3653,1188,5481,65400,263,15176,9552,4427.0,1197,5158,2325.0,544,9720,89
Budapest 07. OEVK,25982,7260,6620,1833,3291,1137,5841,68092,262,16071,10438,4478.0,1155,5369,2340.0,520,9911,89
Budapest 08. OEVK,27207,7939,6717,2122,2864,1239,6326,72677,267,17626,11207,5004.0,1415,5411,2455.0,613,9581,95
Budapest 09. OEVK,25544,7215,6123,2173,2697,1283,6053,67955,266,16724,10822,4646.0,1256,5176,2171.0,487,8820,95
Budapest 10. OEVK,26483,9189,6942,1674,2432,1174,5072,73845,279,17109,9542,5659.0,1908,5183,3124.0,940,9374,102
Budapest 11. OEVK,26216,7894,6701,1804,2441,1144,6232,70436,269,17074,10504,5148.0,1422,5159,2639.0,630,9142,97
Budapest 12. OEVK,26495,7948,6459,1896,3109,1128,5955,70348,266,16927,10842,4902.0,1183,5845,2584.0,523,9568,92
Budapest 13. OEVK,26652,8484,6455,2077,2387,1183,6066,72145,271,17810,11154,5335.0,1321,5241,2563.0,548,8842,98
