oevk,households_total,hh_family,hh_family_single,hh_family_multi,hh_nonfamily,hh_nonfamily_alone,hh_members_total,hh_persons_per_100,hh_age_under30_only,hh_age_30_64_only,hh_age_65plus_only,hh_age_under30_and_30_64,hh_age_under30_and_65plus,hh_age_30_64_and_65plus,hh_age_all_groups
Magyarország összesen,4009895,2410626,2275158,1784361,490797,135468,1599269,1424369,9435878,235,208496,1109864,906587,1202689,26183
Budapest 01. OEVK,56703,20843,20355,15032,5323,488,35860,31839,99494,175,7338,21023,13199,10348,405
Budapest 02. OEVK,63504,23071,22273,16149,6124,798,40433,35507,112039,176,11291,25788,9787,11889,345
Budapest 03. OEVK,50662,25710,24827,19008,5819,883,24952,22889,104195,206,3197,14604,14227,13037,340
Budapest 04. OEVK,51147,26648,25371,19541,5830,1277,24499,22386,108744,213,2871,14432,14250,13493,354
Budapest 05. OEVK,59818,23441,22818,16665,6153,623,36377,32577,105945,177,7255,23984,11875,11996,332
Budapest 06. OEVK,56159,24015,23194,17091,6103,821,32144,28690,105244,187,6512,20915,11354,12414,287
Budapest 07. OEVK,54525,24943,23992,17676,6316,951,29582,26600,105054,193,4885,19579,12184,12614,298
Budapest 08. OEVK,49196,25818,24548,17869,6679,1270,23378,20818,103701,211,2837,15251,11769,12348,329
Budapest 09. OEVK,44512,23997,22585,16253,6332,1412,20515,18169,96065,216,2631,14226,9546,11498,291
Budapest 10. OEVK,45585,25004,23667,18155,5512,1337,20581,18376,101007,222,3069,12960,10681,12700,313
Budapest 11. OEVK,47739,25193,24230,17509,6721,963,22546,20228,99238,208,2590,14394,11917,12506,291
Budapest 12. OEVK,51759,25597,24757,18285,6472,840,26162,23674,102961,199,3899,18683,10392,13286,251
Budapest 13. OEVK,44447,25429,24298,17836,6462,1131,19018,16825,98030,221,2130,13684,9468,12724,255
Budapest 14. OEVK,42535,26048,24348,18650,5698,1700,16487,14617,102057,240,1687,11117,9556,13008,274
Budapest 15. OEVK,39137,25804,23859,18495,5364,1945,13333,11663,99151,253,1112,9364,8561,12613,295
Budapest 16. OEVK,42966,26822,24703,18924,5779,2119,16144,14171,106178,247,1597,11857,8889,13294,306
Baranya 01. OEVK,43367,22029,21161,15988,5173,868,21338,18921,88522,204,4364,12573,10737,10415,277
Baranya 02. OEVK,40124,23219,22025,17217,4808,1194,16905,15104,90728,226,2559,11215,9370,11256,281
Baranya 03. OEVK,33627,21338,20155,16329,3826,1183,12289,10863,80880,241,1217,8749,8227,9691,241
