Kezdet	Vég	Adatgazda	Mód	Minta	Fidesz	TISZA	Bal	MH	MKKP	EM	kod	FideszV	TiszaV	DKV	MiHazankV	MKKPV	EMV
	2026.03.03	Publicus	Telefonos	1000	39	47	4	6	4		265	38.4636	49.1916	3.1712	6.124	2.9225	
2026.02.22	2026.02.28	Závecz	Hibrid	1000	38	50	3	7	2		264	38.4636	49.296	3.2756	6.0196	2.9225	
2026.02.23	2026.02.25	Nézőpont	Telefonos	1000	45	40	3	8	4		264	38.6137	49.1459	3.4257	5.7194	3.0726	
2026.02.18	2026.02.23	Medián	Telefonos	1000	35	55	2	6	2		264	38.7579	49.1459	3.5699	5.5752	2.9284	
2026.02.12	2026.02.17	Republikon	Telefonos	1000	39	47	3	6	5		263	39.5075	48.3963	3.3825	5.3878	3.1158	
2026.02.09	2026.02.12	Publicus	Telefonos	1000	39	48	5	5	4		262	39.4081	48.3963	3.4819	5.3878	3.1158	
2026.02.09	2026.02.11	Nézőpont	Telefonos	1000	46	40	4	7	3		262	39.5125	48.3963	3.3775	5.3878	3.0114	
2026.01.31	2026.02.06	IDEA	Online	1500	38	48	5	5	3		261	39.6567	48.3963	3.2333	5.2436	3.1556	
2026.01.28	2026.02.02	21 Kutató	Hibrid	1000	37	53	3	5	2		261	39.6567	48.3963	3.2333	5.1165	3.1556	
2026.01.21	2026.01.24	Publicus	Telefonos	1001	40	48	4	5	3		259	39.4693	48.3963	3.2333	5.1165	3.1556	
2026.01.19	2026.01.24	Závecz	Hibrid	1000	39	49	4	5	3		259	39.4693	48.3963	3.3377	5.1165	3.1556	
2026.01.15	2026.01.20	Republikon	Telefonos	1000	38	47	4	6	5		259	39.3192	48.0961	3.3377	5.1165	3.3057	
2026.01.07	2026.01.13	Medián	Telefonos	1000	39	51	1	5	3		258	39.1204	48.1955	3.3377	5.1165	3.3057	
2026.01.05	2026.01.07	Nézőpont	Telefonos	1000	47	40	3	6	4		257	39.3078	48.0081	3.5251	5.1165	3.1183	
2025.12.31	2026.01.06	IDEA	Online	1500	38	48	5	4	3		257	39.1636	47.8639	3.5251	5.1165	3.2625	
2025.12.16	2025.12.20	Publicus	Telefonos	1001	40	48	5	5	3		255	39.2907	47.7368	3.5251	5.1165	3.2625	
2025.12.12	2025.12.16	21 Kutató	Hibrid	1000	36	53	3	5	2		255	39.1863	47.7368	3.6295	5.0121	3.2625	
2025.12.15	2025.12.16	Nézőpont	Telefonos	1000	46	39	3	6	5		255	39.3737	47.1746	3.8169	5.1995	3.4499	
2025.12.10	2025.12.15	Republikon	Telefonos	1000	36	48	4	6	5		255	39.5179	47.3188	3.8169	5.3437	3.1615	
2025.11.27	2025.12.04	IDEA	Hibrid	1500	39	47	5	4	3		253	39.2197	47.0206	3.8169	5.5425	3.2609	
2025.11.23	2025.11.30	Závecz	Hibrid	1000	38	47	4	5	4		253	39.3468	47.0206	3.8169	5.5425	3.2609	
2025.11.21	2025.11.28	21 Kutató	Telefonos	1500	37	50	4	6	3		252	39.1967	47.1707	3.967	5.5425	3.2609	
2025.11.24	2025.11.28	Republikon	Telefonos	1000	33	45	4	8	6		252	38.8219	47.7329	3.7796	5.5425	3.0735	
2025.11.24	2025.11.26	Nézőpont	Telefonos	1000	47	40	3	7	3		252	38.9213	47.6335	3.879	5.4431	3.0735	
2025.11.20	2025.11.25	Medián	Telefonos	1000	40	50	2	5	2		252	38.7771	47.3451	4.0232	5.2989	3.3619	
2025.11.10	2025.11.18	Publicus	Online	1002	39	48	6	4	3		251	38.4023	47.5325	4.0232	5.1115	3.5493	
2025.10.31	2025.11.07	IDEA	Telefonos	1500	40	47	5	4	3		249	38.2979	47.2193	4.1276	5.2159	3.6537	
2025.10.24	2025.10.31	Závecz	Telefonos	1000	37	48	5	5	4		248	38.0437	47.4735	4.1276	5.2159	3.5266	
2025.10.16	2025.10.22	Republikon	Hibrid	1000	34	44	5	7	6		247	37.8936	47.1733	4.1276	5.366	3.5266	
2025.10.06	2025.10.13	Publicus	Telefonos	1000	38	45	7	5	4		246	37.993	47.0739	4.1276	5.4654	3.4272	
2025.10.03	2025.10.10	21 Kutató	Telefonos	1000	35	53	3	6	2		245	37.8886	47.1783	4.1276	5.5698	3.4272	
2025.09.30	2025.10.07	IDEA	Online	1500	38	49	5	4	2		245	38.076	46.9909	3.9402	5.7572	3.6146	
2025.09.25	2025.10.01	Republikon	Telefonos	1000	35	43	5	8	5		244	38.2031	46.8638	3.9402	5.7572	3.6146	
2025.09.08	2025.09.12	Publicus	Telefonos	1000	37	46	7	6	4		241	38.2031	46.665	4.2384	5.7572	3.6146	
2025.08.31	2025.09.06	IDEA	Online	1500	39	48	5	4	2		240	38.0987	46.665	4.4472	5.7572	3.5102	
2025.08.28	2025.09.04	Medián	Telefonos	1000	38	51	2	4	3		240	38.0987	46.4108	4.4472	5.7572	3.6373	
2025.08.29	2025.09.03	Závecz	Telefonos	1000	36	46	5	6	4		240	37.7239	46.4108	4.6346	5.9446	3.6373	
2025.08.27	2025.08.31	21 Kutató	Hibrid	1000	36	52	2	7	3		240	37.5738	46.4108	4.7847	6.0947	3.6373	
2025.08.21	2025.08.27	Republikon	Telefonos	1000	35	41	8	8	5		239	37.199	46.4108	5.3469	5.9073	3.4499	
2025.08.18	2025.08.19	Nézőpont	Telefonos	1000	46	38	4	6	5		238	37.0996	46.6096	5.2475	5.7085	3.4499	
2025.07.31	2025.08.07	IDEA	Online	1500	39	46	5	4	3		236	36.8112	46.7538	5.1033	5.8527	3.3057	
2025.08.01	2025.08.06	Publicus	Telefonos	1000	36	46	9	6	3		236	36.557	46.4996	5.2304	5.9798	3.4328	
2025.07.23	2025.07.29	Republikon	Telefonos	1000	34	43	7	6	5		235	36.6614	46.2908	5.3348	5.8754	3.224	
2025.06.24	2025.06.27	21 Kutató	Hibrid	1000	34	52	5	6	2		230	36.6614	46.2908	5.3348	5.9748	3.3234	
