date,n_polls,n_eff_polls,Fidesz_hat,Fidesz_lo80,Fidesz_hi80,TISZA_hat,TISZA_lo80,TISZA_hi80,Bal_hat,Bal_lo80,Bal_hi80,MH_hat,MH_lo80,MH_hi80,MKKP_hat,MKKP_lo80,MKKP_hi80,EM_hat,EM_lo80,EM_hi80
2021-06-06,1,1.0,50.0,46.73,53.27,,,,,,,4.0,1.32,6.68,4.0,1.32,6.68,42.0,38.75,45.25
2021-06-07,1,1.0,50.0,46.73,53.27,,,,,,,4.0,1.32,6.68,4.0,1.32,6.68,42.0,38.75,45.25
2021-06-08,2,2.0,51.04,48.1,53.98,,,,,,,3.48,0.86,6.1,2.96,0.35,5.57,42.52,39.59,45.45
2021-06-09,2,2.0,51.04,48.1,53.98,,,,,,,3.48,0.86,6.1,2.96,0.35,5.57,42.52,39.59,45.45
2021-06-10,2,2.0,51.04,48.1,53.98,,,,,,,3.48,0.86,6.1,2.96,0.35,5.57,42.52,39.59,45.45
2021-06-11,2,2.0,51.04,48.1,53.98,,,,,,,3.48,0.86,6.1,2.96,0.35,5.57,42.52,39.59,45.45
2021-06-12,3,3.0,48.98,46.16,51.8,,,,,,,3.43,0.81,6.05,2.92,0.31,5.52,44.68,41.86,47.49
2021-06-13,3,3.0,48.98,46.16,51.8,,,,,,,3.43,0.81,6.05,2.92,0.31,5.52,44.68,41.86,47.49
2021-06-14,3,3.0,48.98,46.16,51.8,,,,,,,3.43,0.81,6.05,2.92,0.31,5.52,44.68,41.86,47.49
2021-06-15,3,3.0,48.98,46.16,51.8,,,,,,,3.43,0.81,6.05,2.92,0.31,5.52,44.68,41.86,47.49
2021-06-16,3,3.0,48.98,46.16,51.8,,,,,,,3.43,0.81,6.05,2.92,0.31,5.52,44.68,41.86,47.49
2021-06-17,3,3.0,48.98,46.16,51.8,,,,,,,3.43,0.81,6.05,2.92,0.31,5.52,44.68,41.86,47.49
2021-06-18,3,3.0,48.98,46.16,51.8,,,,,,,3.43,0.81,6.05,2.92,0.31,5.52,44.68,41.86,47.49
2021-06-19,3,3.0,48.98,46.16,51.8,,,,,,,3.43,0.81,6.05,2.92,0.31,5.52,44.68,41.86,47.49
