start_date,end_date,mid_date,pollster,method,sample_size,Fidesz,TISZA,Bal,MH,MKKP,EM,party_sum,flag_sum,age_days,w_time,w_n,w_mode,weight
2021-06-03,2021-06-08,2021-06-05 12:00:00,Medián,Telefonos,1000,50.0,,,4.0,4.0,42.0,100.0,False,1736.5,1.281404695110098e-25,31.622776601683793,1.0,4.0521574409815365e-24
2021-06-07,2021-06-09,2021-06-08 00:00:00,Nézőpont,Telefonos,1000,52.0,,,3.0,2.0,43.0,100.0,False,1734.0,1.3916281822210897e-25,31.622776601683793,1.0,4.400714711898483e-24
2021-06-08,2021-06-16,2021-06-12 00:00:00,Závecz,Személyes,1000,47.3,,,,,50.3,97.6,False,1730.0,1.5880430152561785e-25,31.622776601683793,0.95,4.770741303004494e-24
2021-06-30,2021-07-04,2021-07-02 00:00:00,IDEA,Online,2000,47.0,,,4.0,3.0,45.0,99.0,False,1710.0,3.0729641658465007e-25,44.721359549995796,0.9,1.2368442181056684e-23
2021-07-22,2021-08-01,2021-07-27 00:00:00,IDEA,Online,2000,48.0,,,3.0,4.0,44.0,99.0,False,1685.0,7.013366561629134e-25,44.721359549995796,0.9,2.8228255889268083e-23
2021-07-26,2021-07-28,2021-07-27 00:00:00,Nézőpont,Telefonos,1000,51.0,,,,,47.0,98.0,False,1685.0,7.013366561629134e-25,31.622776601683793,1.0,2.217821240041173e-23
2021-08-06,2021-08-19,2021-08-12 12:00:00,Závecz,Személyes,1000,48.9,,,,,47.8,96.69999999999999,False,1668.5,1.2090662723133412e-24,31.622776601683793,0.95,3.63223309946956e-23
2021-08-23,2021-08-25,2021-08-24 00:00:00,Nézőpont,Telefonos,1000,52.0,,,,,46.0,98.0,False,1657.0,1.7672576323250867e-24,31.622776601683793,1.0,5.588559330463685e-23
2021-08-31,2021-09-07,2021-09-03 12:00:00,IDEA,Online,2000,49.0,,,3.0,3.0,45.0,100.0,False,1646.5,2.4992797118415025e-24,44.721359549995796,0.9,1.0059406794834634e-22
2021-09-13,2021-09-20,2021-09-16 12:00:00,Závecz,Személyes,1000,48.7,,,,,49.2,97.9,False,1633.5,3.838546145138909e-24,31.622776601683793,0.95,1.153162128618331e-22
2021-09-20,2021-09-21,2021-09-20 12:00:00,Nézőpont,Telefonos,1000,53.0,,,,,45.0,98.0,False,1629.5,4.380319737990137e-24,31.622776601683793,1.0,1.3851787251840818e-22
2021-09-27,2021-09-29,2021-09-28 00:00:00,Nézőpont,Telefonos,1000,54.0,,,,,44.0,98.0,False,1622.0,5.610693249303307e-24,31.622776601683793,1.0,1.7742569920329385e-22
2021-09-29,2021-10-04,2021-10-01 12:00:00,Medián,Telefonos,1000,44.0,,,4.0,5.0,47.0,100.0,False,1618.5,6.2977902370485824e-24,31.622776601683793,1.0,1.9915361375045253e-22
2021-09-30,2021-10-09,2021-10-04 12:00:00,IDEA,Online,2000,47.0,,,3.0,3.0,47.0,100.0,False,1615.5,6.953324160042633e-24,44.721359549995796,0.9,2.798658988460452e-22
2021-10-04,2021-10-06,2021-10-05 00:00:00,Nézőpont,Telefonos,1000,54.0,,,,,43.0,97.0,False,1615.0,7.069030529300347e-24,31.622776601683793,1.0,2.235423732185474e-22
2021-10-11,2021-10-13,2021-10-12 00:00:00,Nézőpont,Telefonos,1000,56.0,,,,,42.0,98.0,False,1608.0,8.906420366214974e-24,31.622776601683793,1.0,2.816457415615029e-22
2021-10-11,2021-10-19,2021-10-15 00:00:00,Závecz,Személyes,1000,47.5,,,,,49.6,97.1,False,1605.0,9.833485330708802e-24,31.622776601683793,0.95,2.9541400433749214e-22
2021-10-18,2021-10-20,2021-10-19 00:00:00,Nézőpont,Telefonos,1000,56.0,,,,,43.0,99.0,False,1601.0,1.1221386498606615e-23,31.622776601683793,1.0,3.548513984065877e-22
2021-10-25,2021-10-27,2021-10-26 00:00:00,Nézőpont,Telefonos,1000,56.0,,,,,42.0,98.0,False,1594.0,1.4138061058600694e-23,31.622776601683793,1.0,4.470847464370948e-22
2021-10-26,2021-11-05,2021-10-31 00:00:00,IDEA,Online,2000,48.0,,,3.0,3.0,45.0,99.0,False,1589.0,1.6674916253127863e-23,44.721359549995796,0.9,6.711524326999799e-22
2021-11-02,2021-11-03,2021-11-02 12:00:00,Nézőpont,Telefonos,1000,56.0,,,,,42.0,98.0,False,1586.5,1.8109254229036083e-23,31.622776601683793,1.0,5.726649009079056e-22
2021-11-08,2021-11-10,2021-11-09 00:00:00,Nézőpont,Telefonos,1000,56.0,,,,,42.0,98.0,False,1580.0,2.244277299721323e-23,31.622776601683793,1.0,7.097027968131754e-22
2021-11-15,2021-11-24,2021-11-19 12:00:00,Závecz,Személyes,1000,48.0,,,,,49.3,97.3,False,1569.5,3.1738873949919627e-23,31.622776601683793,0.95,9.534877544819441e-22
2021-12-04,2021-12-07,2021-12-05 12:00:00,Medián,Telefonos,1000,44.0,,,5.0,6.0,45.0,100.0,False,1553.5,5.382049672975343e-23,31.622776601683793,1.0,1.7019535446766457e-21
2021-11-29,2021-12-13,2021-12-06 00:00:00,IDEA,Online,2000,47.0,,,4.0,3.0,46.0,100.0,False,1553.0,5.471609344362909e-23,44.721359549995796,0.9,2.2022802792573337e-21
2021-12-04,2021-12-13,2021-12-08 12:00:00,Závecz,Személyes,1000,48.0,,,,,49.0,97.0,False,1550.5,5.942264606003688e-23,31.622776601683793,0.95,1.785153608365598e-21
2021-12-13,2021-12-15,2021-12-14 00:00:00,Nézőpont,Telefonos,1000,55.0,,,,,43.0,98.0,False,1545.0,7.12513629297198e-23,31.622776601683793,1.0,2.253165932492023e-21
2022-01-03,2022-01-05,2022-01-04 00:00:00,Nézőpont,Telefonos,1000,50.0,,,3.0,3.0,43.0,99.0,False,1524.0,1.425027258594396e-22,31.622776601683793,1.0,4.506331864984046e-21
2022-01-04,2022-01-14,2022-01-09 00:00:00,IDEA,Online,2000,48.0,,,4.0,4.0,44.0,100.0,False,1519.0,1.6807262394040065e-22,44.721359549995796,0.9,6.7647926211749e-21
2022-01-31,2022-02-09,2022-02-04 12:00:00,IDEA,Online,2000,49.0,,,4.0,3.0,44.0,100.0,False,1492.5,4.0305857517110928e-22,44.721359549995796,0.9,1.622279471394257e-20
